"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.151912497953651 0.304758653553661 0.240329078343699 0.0865078249886812 -0.0097950406953392
"sl_" 0.151912497953651 0 0.0754850408323256 0.168699863584752 0.0781208061857765 0.0673244583899175
"anx" 0.304758653553661 0.0754850408323256 0 0.213490354132618 0.0749024143994034 0.0299173005538231
"dpr" 0.240329078343699 0.168699863584752 0.213490354132618 0 0.106052998334277 0.0160466113392144
"per" 0.0865078249886812 0.0781208061857765 0.0749024143994034 0.106052998334277 0 0.0958195871805022
"hal" -0.0097950406953392 0.0673244583899175 0.0299173005538231 0.0160466113392144 0.0958195871805022 0
