"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.143531741952353 0.318643749814189 0.224523372335105 0.0735372262356467 -0.00847279957625914
"sl_" 0.143531741952353 0 0.0534280438806346 0.198071914180404 0.0136599633857007 0.0106377142947155
"anx" 0.318643749814189 0.0534280438806346 0 0.225641033188158 0.10225560728103 0.0269171485898088
"dpr" 0.224523372335105 0.198071914180404 0.225641033188158 0 0.107115273595579 0.0823822557699197
"per" 0.0735372262356467 0.0136599633857007 0.10225560728103 0.107115273595579 0 0.0791547156046141
"hal" -0.00847279957625914 0.0106377142947155 0.0269171485898088 0.0823822557699197 0.0791547156046141 0
