"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.0083023350838973 0.357939685871127 0.319876697163743 0.126745469223351 -0.0575930649103015
"sl_" 0.0083023350838973 0 0.245014904427289 0.142906041452513 0.157917171219431 -0.0181987194041057
"anx" 0.357939685871127 0.245014904427289 0 0.192271234555496 0.0565903541507469 -0.0889049214819142
"dpr" 0.319876697163743 0.142906041452513 0.192271234555496 0 0.125120503846681 -0.00132403558538423
"per" 0.126745469223351 0.157917171219431 0.0565903541507469 0.125120503846681 0 0.155641368718286
"hal" -0.0575930649103015 -0.0181987194041057 -0.0889049214819142 -0.00132403558538423 0.155641368718286 0
