"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.153667288827919 0.313927714370201 0.239088455227407 0.0868683403466353 -0.0149040748178886
"sl_" 0.153667288827919 0 0.0686534356616515 0.187864895719937 0.0366700015471635 0.0241319778216773
"anx" 0.313927714370201 0.0686534356616515 0 0.22739786985876 0.0935524830442569 0.0269740953286563
"dpr" 0.239088455227407 0.187864895719937 0.22739786985876 0 0.121238206222341 0.0589979883094209
"per" 0.0868683403466353 0.0366700015471635 0.0935524830442569 0.121238206222341 0 0.0884306531720818
"hal" -0.0149040748178886 0.0241319778216773 0.0269740953286563 0.0589979883094209 0.0884306531720818 0
