"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.168110405636072 0.265101193309989 0.241311696904209 0.255317439597855 -0.123299593910617
"sl_" 0.168110405636072 0 0.0157650584885054 0.179501883749968 0.133674046852593 0.060672355698256
"anx" 0.265101193309989 0.0157650584885054 0 0.266052675047354 -0.002086605400022 0.0851718374828585
"dpr" 0.241311696904209 0.179501883749968 0.266052675047354 0 0.20210813972473 0.0565874692695647
"per" 0.255317439597855 0.133674046852593 -0.002086605400022 0.20210813972473 0 -0.0457678701141053
"hal" -0.123299593910617 0.060672355698256 0.0851718374828585 0.0565874692695647 -0.0457678701141053 0
