"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.100219995670048 0.322815518682129 0.230806987273429 0.0773223768559587 0.01094320401161
"sl_" 0.100219995670048 0 -0.00683878355496862 0.237717515388102 -0.00331254970211662 0.00869896236893788
"anx" 0.322815518682129 -0.00683878355496862 0 0.18206920599761 0.162428760349136 0.0130940989823046
"dpr" 0.230806987273429 0.237717515388102 0.18206920599761 0 0.157612415550907 0.131584689800639
"per" 0.0773223768559587 -0.00331254970211662 0.162428760349136 0.157612415550907 0 0.0414489710368449
"hal" 0.01094320401161 0.00869896236893788 0.0130940989823046 0.131584689800639 0.0414489710368449 0
