"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.141879236661894 0.324687297643483 0.203784971358224 0.0704003189902474 -0.0217490818808022
"sl_" 0.141879236661894 0 0.0629921774956684 0.18376415211362 0.00865244877206997 0.000322309009182217
"anx" 0.324687297643483 0.0629921774956684 0 0.236793517915639 0.0721166241408947 0.0200307602835818
"dpr" 0.203784971358224 0.18376415211362 0.236793517915639 0 0.0745784673223058 0.0254683876614574
"per" 0.0704003189902474 0.00865244877206997 0.0721166241408947 0.0745784673223058 0 0.0156931086483924
"hal" -0.0217490818808022 0.000322309009182217 0.0200307602835818 0.0254683876614574 0.0156931086483924 0
