"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.156843398317278 0.178688371700739 0.488166437124994 -0.032206242950589 -0.0282661235689266
"sl_" 0.156843398317278 0 0.273825412367938 -0.0554428705679995 0.0711821467617062 -0.0765551123043429
"anx" 0.178688371700739 0.273825412367938 0 0.369015711067845 0.012563154020245 0.126523149465463
"dpr" 0.488166437124994 -0.0554428705679995 0.369015711067845 0 0.313926298254903 -0.00300068738056773
"per" -0.032206242950589 0.0711821467617062 0.012563154020245 0.313926298254903 0 0.297340981691111
"hal" -0.0282661235689266 -0.0765551123043429 0.126523149465463 -0.00300068738056773 0.297340981691111 0
