"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.120499113494531 0.247552854559972 0.325481111579203 -0.00789151929877534 -0.00691688652616384
"sl_" 0.120499113494531 0 0.112924142308279 0.142983161550052 0.0489617437261073 0.0338988360602833
"anx" 0.247552854559972 0.112924142308279 0 0.236867276889558 0.0336403026747552 0.0131556205633483
"dpr" 0.325481111579203 0.142983161550052 0.236867276889558 0 0.120698783060466 0.126943065426519
"per" -0.00789151929877534 0.0489617437261073 0.0336403026747552 0.120698783060466 0 0.207309174410974
"hal" -0.00691688652616384 0.0338988360602833 0.0131556205633483 0.126943065426519 0.207309174410974 0
