"wrr" "sl_" "anx" "dpr" "per" "hal"
"wrr" 0 0.146698341165017 0.303873815522237 0.259290669220493 0.107630004903992 -0.0248534664013247
"sl_" 0.146698341165017 0 0.0916469900603492 0.161805039634719 0.087656001107174 0.0434844422085586
"anx" 0.303873815522237 0.0916469900603492 0 0.231005996801249 0.0815546063155065 0.0257351784807946
"dpr" 0.259290669220493 0.161805039634719 0.231005996801249 0 0.144090862257702 0.0178324066942992
"per" 0.107630004903992 0.087656001107174 0.0815546063155065 0.144090862257702 0 0.108093448329703
"hal" -0.0248534664013247 0.0434844422085586 0.0257351784807946 0.0178324066942992 0.108093448329703 0
